p_id,source,p_base_price,p_name,category,p_gender,p_img,p_link
3205490,DeFacto,1299.0,Woman Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/E5689AX_NS_BG26_01_02.jpg,https://www.defacto.com//en-eg/kadin-3205490
3195176,DeFacto,1299.0,Suede Shoulder bag,bags,Women,https://dfcdn.defacto.com.tr/376/D9522AX_NS_BN515_01_01.jpg,https://www.defacto.com//en-eg/kadin-3195176
2981845,DeFacto,999.0,Women Faux Leather Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/B5415AX_NS_BK27_01_01.jpg,https://www.defacto.com//en-eg/kadin-2981845
3195177,DeFacto,999.0,Woman Faux Leather Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/D9523AX_NS_WT1_01_01.jpg,https://www.defacto.com//en-eg/kadin-3195177
3036072,DeFacto,799.0,Woman Faux Leather Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/B7152AX_NS_SR4_01_02.jpg,https://www.defacto.com//en-eg/kadin-3036072
3053410,DeFacto,999.0,Woman Straw Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/B9037AX_NS_NV144_01_03.jpg,https://www.defacto.com//en-eg/kadin-hasir-el-cantasi-3053410
3171508,DeFacto,999.0,Faux Leather Hand Bag,bags,Women,https://dfcdn.defacto.com.tr/376/B5415AX_NS_KR1_01_01.jpg,https://www.defacto.com//en-eg/kadin-suni-deri-el-cantasi-3171508
3050769,DeFacto,1499.0,Woman Straw Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/B9047AX_NS_BG311_01_02.jpg,https://www.defacto.com//en-eg/kadin-3050769
3037499,DeFacto,799.0,Woman Faux Leather Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/B7153AX_NS_BK27_01_07.jpg,https://www.defacto.com//en-eg/kadin-3037499
3060059,DeFacto,999.0,Woman Jean Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/C1497AX_NS_BE2_01_02.jpg,https://www.defacto.com//en-eg/kadin-suni-deri-omuz-cantasi-3060059
3053402,DeFacto,1499.0,Woman Straw Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/B9058AX_NS_KR1_01_01.jpg,https://www.defacto.com//en-eg/kadin-3053402
3059849,DeFacto,1199.0,Woman Jean Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/C1495AX_NS_BE2_01_02.jpg,https://www.defacto.com//en-eg/kadin-3059849
3106691,DeFacto,1399.0,Woman Faux Leather Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/C8254AX_NS_BG26_01_02.jpg,https://www.defacto.com//en-eg/kadin-3106691
3057785,DeFacto,1199.0,Woman Faux Leather Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/B9359AX_NS_GN979_01_01.jpg,https://www.defacto.com//en-eg/kadin-suni-deri-el-cantasi-3057785
3052097,DeFacto,799.0,Woman Beach Bag,bags,Women,https://dfcdn.defacto.com.tr/376/Z4432AZ_NS_PN101_01_01.jpg,https://www.defacto.com//en-eg/kadin-plaj-cantasi-3052097
3037498,DeFacto,799.0,Faux Leather Shoulder bag,bags,Women,https://dfcdn.defacto.com.tr/376/B7153AX_NS_BN515_01_02.jpg,https://www.defacto.com//en-eg/kadin-3037498
3205573,DeFacto,1299.0,Woman Faux Leather Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/B5415AX_NS_KR2_01_02.jpg,https://www.defacto.com//en-eg/kadin-suni-deri-el-cantasi-3205573
3052079,DeFacto,999.0,Faux Leather Hand Bag,bags,Women,https://dfcdn.defacto.com.tr/376/B9353AX_NS_PR46_01_02.jpg,https://www.defacto.com//en-eg/kadin-3052079
2926845,DeFacto,1299.0,Woman Suede Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/A7536AX_NS_BK27_01_02.jpg,https://www.defacto.com//en-eg/kadin-2926845
3036071,DeFacto,799.0,Faux Leather Hand Bag,bags,Women,https://dfcdn.defacto.com.tr/376/B7152AX_NS_BK27_01_02.jpg,https://www.defacto.com//en-eg/kadin-3036071
3050736,DeFacto,799.0,Woman Straw Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/B9048AX_NS_BG311_01_01.jpg,https://www.defacto.com//en-eg/kadin-3050736
3053404,DeFacto,1299.0,Woman Straw Handbag,bags,Women,https://dfcdn.defacto.com.tr/376/B9034AX_NS_BG311_01_02.jpg,https://www.defacto.com//en-eg/kadin-3053404
3205480,DeFacto,1299.0,Shoulder bag,bags,Women,https://dfcdn.defacto.com.tr/376/E5685AX_NS_BK27_01_02.jpg,https://www.defacto.com//en-eg/kadin-3205480
3205459,DeFacto,799.0,Hand Bag,bags,Women,https://dfcdn.defacto.com.tr/376/C8649AX_NS_BK26_01_02.jpg,https://www.defacto.com//en-eg/kadin-el-cantasi-3205459
3205460,DeFacto,799.0,Hand Bag,bags,Women,https://dfcdn.defacto.com.tr/376/C8649AX_NS_KR1_01_02.jpg,https://www.defacto.com//en-eg/kadin-el-cantasi-3205460
3202653,DeFacto,999.0,Faux Leather Shoulder bag,bags,Women,https://dfcdn.defacto.com.tr/376/E3355AX_NS_BK27_01_02.jpg,https://www.defacto.com//en-eg/kadin-3202653
3122349,DeFacto,1299.0,Woman Faux Leather Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/C9337AX_NS_BK27_01_02.jpg,https://www.defacto.com//en-eg/kadin-3122349
3205491,DeFacto,999.0,Shoulder bag,bags,Women,https://dfcdn.defacto.com.tr/376/E5689AX_NS_BN515_01_02.jpg,https://www.defacto.com//en-eg/kadin-3205491
2907510,DeFacto,1299.0,Woman Faux Leather Shoulder Bag,bags,Women,https://dfcdn.defacto.com.tr/376/B0807AX_NS_BK27_01_03.jpg,https://www.defacto.com//en-eg/kadin-2907510
2926893,DeFacto,909.0,Woman Buckle Detailed Faux Leather Crossbody Bag,bags,Women,https://dfcdn.defacto.com.tr/376/A7532AX_NS_PR172_01_02.jpg,https://www.defacto.com//en-eg/kadin-2926893
3205475,DeFacto,999.0,Crossbody Bag,bags,Women,https://dfcdn.defacto.com.tr/376/E5683AX_NS_BK27_01_02.jpg,https://www.defacto.com//en-eg/kadin-3205475
